Method,SSIM,PTVH layer1,PTVH layer2,PTVH layer3,PTVH layer4,FID,PSNR,ExpTimestamp
ASP,0.1988330447146806,0.4526,0.4166,0.2664,0.8185,50.135207723645465,14.137050427101764,2025-04-02 20:39:15.622
ASP,0.36002896258235606,0.6302,0.5194,0.2918,0.7736,72.37303929675198,15.091207491304491,2025-04-02 21:01:41.259
